start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
102.186.219.208,102.186.219.211,102.186.0.0,Samālūţ,Minya,EG,28.31214,30.71007,,Africa/Cairo
102.185.97.72,102.185.97.79,102.185.0.0,Al Manşūrah,Dakahlia,EG,31.03637,31.38069,,Africa/Cairo
105.156.150.12,105.156.150.15,105.156.0.0,Rabat,Rabat-Salé-Kénitra,MA,34.01325,-6.83255,,Africa/Casablanca
100.6.18.112,100.6.18.255,100.6.0.0,Pittsburgh,Pennsylvania,US,40.3748,-80.0731,15243,America/New_York
102.178.79.208,102.178.79.223,102.178.0.0,Koudougou,Centre-Ouest,BF,12.25263,-2.36272,,Africa/Ouagadougou
1.24.177.76,1.24.177.79,1.24.0.0,Tianjin,Tianjin,CN,39.14222,117.17667,,Asia/Shanghai
101.17.129.4,101.17.129.15,101.17.0.0,Tianjin,Tianjin,CN,39.14222,117.17667,,Asia/Shanghai
102.106.171.88,102.106.171.95,102.106.0.0,Manouba,Manouba,TN,36.81006,10.09557,,Africa/Tunis
103.51.58.160,103.51.58.165,103.51.0.0,Kolkata,West Bengal,IN,22.5333,88.3917,700046,Asia/Kolkata
1.62.54.229,1.62.54.230,1.62.0.0,Harbin,Heilongjiang,CN,45.75,126.65,,Asia/Shanghai
1.15.221.0,1.15.221.39,1.15.0.0,Shenzhen,Guangdong,CN,22.54554,114.0683,,Asia/Shanghai
105.157.84.200,105.157.84.207,105.157.0.0,Marrakesh,Marrakesh-Safi,MA,31.63416,-7.99994,,Africa/Casablanca
101.187.180.6,101.187.180.6,101.187.0.0,Albany,Western Australia,AU,-35.02692,117.88369,6330,Australia/Perth
1.206.127.104,1.206.127.107,1.206.0.0,Chengdu,Sichuan,CN,30.66667,104.06667,,Asia/Shanghai
105.195.148.192,105.195.148.223,105.195.0.0,Sharm el-Sheikh,South Sinai,EG,27.91582,34.32995,,Africa/Cairo
101.58.176.0,101.58.176.1,101.58.0.0,Milan,Lombardy,IT,45.46427,9.18951,20121,Europe/Rome
104.245.31.48,104.245.31.55,104.245.0.0,Los Angeles,California,US,34.05223,-118.24368,90009,America/Los_Angeles
103.115.190.5,103.115.190.7,103.115.0.0,Melbourne,Victoria,AU,-37.814,144.96332,3000,Australia/Melbourne
